Date,Hour,Temperature(°C),Humidity(%),Wind speed (m/s),Visibility (10m),Dew point temperature(°C),Solar Radiation (MJ/m2),Rainfall(mm),Snowfall (cm),Seasons,Holiday,Functioning Day
2/12/2018,6,-5.5,38,0.7,1503,-13.8,0.01,0,0,Winter,Holiday,Yes
2/12/2018,7,-5.6,35,0.9,1368,-12.5,0,0,0,Winter,Holiday,Yes
2/12/2018,8,-5.3,31,1.1,1411,-13.4,0,0,0,Winter,Holiday,Yes
2/12/2018,9,-3.8,32,1.6,1371,-12.9,0,0,0,Winter,Holiday,Yes
2/12/2018,10,-1.8,38,1.8,1555,-13.6,0,0,0,Winter,Holiday,Yes
2/12/2018,11,0.5,38,1.4,1558,-13.2,0,0,0,Winter,Holiday,Yes
2/12/2018,12,1.1,37,0.9,1455,-13,0,0,0,Winter,Holiday,Yes
2/12/2018,13,1.4,32,0.8,1394,-12.7,0,0,0,Winter,Holiday,Yes
2/12/2018,14,1.9,33,0.7,1368,-13,0,0,0,Winter,Holiday,Yes
2/12/2018,15,2.7,40,0.9,1603,-12.7,0,0,0,Winter,Holiday,Yes
2/12/2018,16,2.6,30,1,1381,-12.4,0,0,0,Winter,Holiday,Yes
2/12/2018,17,2.3,21,0.2,1515,-12.3,0,0,0,Winter,Holiday,Yes
2/12/2018,18,1.8,25,1.2,1518,-12.4,0,0,0,Winter,Holiday,Yes
2/12/2018,19,1.6,26,1,1419,-12.2,0,0,0,Winter,Holiday,Yes
2/12/2018,20,1.3,29,0.4,1386,-11.4,0,0,0,Winter,Holiday,Yes
2/12/2018,21,1.2,30,0.6,1378,-11.2,0,0,0,Winter,Holiday,Yes
2/12/2018,22,1.1,30,0.5,1305,-11,0.18,0,0,Winter,Holiday,Yes
2/12/2018,23,1.1,24,0.6,1422,-11.3,0.48,0,0,Winter,Holiday,Yes
3/12/2018,0,0.9,30,1.1,1271,-10.5,0.75,0,0.5,Winter,No Holiday,Yes
3/12/2018,1,0.9,27,0.2,1333,-10.5,0.6,0,1,Winter,No Holiday,Yes
3/12/2018,2,0.8,29,0.5,1275,-10.6,0.5,0,1,Winter,No Holiday,Yes
3/12/2018,3,0.9,29,0.4,1261,-10.2,0.41,0,1,Winter,No Holiday,Yes
3/12/2018,4,1,26,0.8,1253,-10.2,0.43,0,1,Winter,No Holiday,Yes
3/12/2018,5,0.8,28,1,1394,-10.6,0.27,0,1,Winter,No Holiday,Yes
3/12/2018,6,0.8,61,0.7,1268,-9.8,0.13,0,1,Winter,No Holiday,Yes
3/12/2018,7,0.7,70,0.8,1357,-10.1,0,0,1,Winter,No Holiday,Yes
3/12/2018,8,0.7,62,0.7,1339,-9.9,0,0,0.9,Winter,No Holiday,Yes
3/12/2018,9,0.8,78,0.9,1070,-9.2,0,0,0.9,Winter,No Holiday,Yes
3/12/2018,10,1.3,76,0.8,971,-9.9,0,0,0.9,Winter,No Holiday,Yes
3/12/2018,11,1.7,74,0.6,1062,-11.4,0,0,0.9,Winter,No Holiday,Yes
3/12/2018,12,2.7,76,2.7,1281,-12,0,0,0.8,Winter,No Holiday,Yes
3/12/2018,13,3,67,1.6,1518,-12.1,0,0,0.7,Winter,No Holiday,Yes
3/12/2018,14,3.4,78,1.4,1267,-12.1,0,0,0.6,Winter,No Holiday,Yes
3/12/2018,15,3.9,79,1.8,1293,-10.9,0,0,0.5,Winter,No Holiday,Yes
3/12/2018,16,3.5,75,1.7,1702,-10.2,0,0,0.5,Winter,No Holiday,Yes
3/12/2018,17,2.7,71,2.8,1957,-6.7,0,0,0.4,Winter,No Holiday,Yes
3/12/2018,18,1.5,70,2.5,638,-3.3,0,0,0.3,Winter,No Holiday,Yes
3/12/2018,19,0.9,67,1.6,290,-0.8,0,0,0.2,Winter,No Holiday,Yes
3/12/2018,20,1,77,1.9,407,-0.6,0,0,0.1,Winter,No Holiday,Yes
3/12/2018,21,0.7,74,6.7,692,-2.8,0,0.9,0.05,Winter,No Holiday,Yes
3/12/2018,22,0.1,71,4.6,740,-5.1,0,0,0,Winter,No Holiday,Yes
3/12/2018,23,-0.6,62,4.2,936,-6.9,0,0,0,Winter,No Holiday,Yes
4/12/2018,0,-1.2,63,4.6,983,-6.5,0.05,0,0,Winter,No Holiday,Yes
4/12/2018,1,-1.9,66,5,791,-6.8,0.16,0,0,Winter,No Holiday,Yes
4/12/2018,2,-2.9,80,3.3,1515,-8.3,0.23,0,0,Winter,No Holiday,Yes
4/12/2018,3,-3.4,61,3.2,1420,-8.6,0.6,0,0,Winter,No Holiday,Yes
4/12/2018,4,-4.3,79,4.4,1451,-11.1,0.38,0,0,Winter,No Holiday,Yes
4/12/2018,5,-5.1,70,3.2,1821,-14.4,0.36,0,0,Winter,No Holiday,Yes
4/12/2018,6,-5.6,88,3.7,1785,-13.9,0.39,0,0,Winter,No Holiday,Yes
4/12/2018,7,-5.9,89,3.1,1686,-13,0.16,0,0,Winter,No Holiday,Yes
4/12/2018,8,-6,85,3.2,1384,-11.7,0.06,0,0,Winter,No Holiday,Yes
4/12/2018,9,-6,77,2.5,1547,-12.3,0,0,0,Winter,No Holiday,Yes
4/12/2018,10,-4.8,89,3,1559,-12,0,0,0,Winter,No Holiday,Yes
4/12/2018,11,-3.9,86,4.5,1746,-12.5,0,0,0,Winter,No Holiday,Yes
4/12/2018,12,-2.7,87,2.4,1707,-13,0,0,0,Winter,No Holiday,Yes
4/12/2018,13,-2.6,77,4,1663,-12.9,0,0,0,Winter,No Holiday,Yes
4/12/2018,14,-1.8,82,3.7,1922,-12.1,0,0,0,Winter,No Holiday,Yes
4/12/2018,15,-2.4,83,4.6,1458,-11.1,0,0,0,Winter,No Holiday,Yes
4/12/2018,16,-2.4,79,3.3,1541,-9.9,0,0,0,Winter,No Holiday,Yes
4/12/2018,17,-2.9,72,3.6,743,-8.3,0,0,0,Winter,No Holiday,Yes
4/12/2018,18,-3.8,78,1.7,1996,-10.8,0,0,0,Winter,No Holiday,Yes
4/12/2018,19,-4.5,75,0.6,2000,-11.7,0,0,0,Winter,No Holiday,Yes
4/12/2018,20,-4.9,72,0.6,1992,-11.6,0,0,0,Winter,No Holiday,Yes
4/12/2018,21,-4.8,83,0.9,2000,-11.6,0.13,0,0,Winter,No Holiday,Yes
4/12/2018,22,-4.2,86,1.6,503,-9.4,0.47,0,0,Winter,No Holiday,Yes
4/12/2018,23,-4.9,76,0.7,690,-7.8,0.73,0,0,Winter,No Holiday,Yes
5/12/2018,0,-5.2,79,0.8,152,-7.7,1.05,0.5,0,Winter,No Holiday,Yes
5/12/2018,1,-5.6,85,1.7,1982,-9.3,1.11,0,0,Winter,No Holiday,Yes
5/12/2018,2,-5.7,77,1.2,1925,-9.9,1.06,0,0,Winter,No Holiday,Yes
5/12/2018,3,-6.1,81,1.1,2000,-10.6,0.46,0.3,0,Winter,No Holiday,Yes
5/12/2018,4,-6.6,80,2.2,2000,-10.8,0.35,0,0,Winter,No Holiday,Yes
5/12/2018,5,-7.3,85,1.6,2000,-10.9,0.23,0,0,Winter,No Holiday,Yes
5/12/2018,6,-7.7,48,1.1,2000,-11.5,0.01,0,0,Winter,No Holiday,Yes
5/12/2018,7,-8,42,1.8,2000,-12.5,0,0,0,Winter,No Holiday,Yes
5/12/2018,8,-7.9,43,2.6,1896,-12.9,0,0,0,Winter,No Holiday,Yes
5/12/2018,9,-7.7,46,3.6,1637,-13.7,0,0,0,Winter,No Holiday,Yes
5/12/2018,10,-6.9,44,3.2,1576,-14.8,0,0.2,0,Winter,No Holiday,Yes
5/12/2018,11,-6.4,50,4.5,1759,-15.3,0,0,0,Winter,No Holiday,Yes
5/12/2018,12,-5.6,43,4.5,1830,-15.9,0,0,0,Winter,No Holiday,Yes
5/12/2018,13,-5.1,42,4.7,1901,-15.7,0,0,0,Winter,No Holiday,Yes
5/12/2018,14,-5.3,50,5.3,2000,-17.7,0,0,0,Winter,No Holiday,Yes
5/12/2018,15,-5.3,41,4.8,2000,-19,0,0.8,0,Winter,No Holiday,Yes
5/12/2018,16,-5.4,44,3.9,2000,-20.2,0,0,0,Winter,No Holiday,Yes
5/12/2018,17,-6.5,46,4,2000,-19.8,0,0,0,Winter,No Holiday,Yes
5/12/2018,18,-7.8,44,4.5,2000,-21.6,0,0,0,Winter,No Holiday,Yes
5/12/2018,19,-8.5,48,2.9,2000,-21.2,0,0.7,0,Winter,No Holiday,Yes
5/12/2018,20,-8.9,45,2.3,2000,-19.7,0,0,0,Winter,No Holiday,Yes
5/12/2018,21,-9.4,49,2,2000,-18.6,0.13,0,0,Winter,No Holiday,Yes
5/12/2018,22,-9.7,44,2.8,2000,-17.9,0.52,0,0.2,Winter,No Holiday,Yes
5/12/2018,23,-10.2,40,3.3,1997,-17.9,0.86,0,0.5,Winter,No Holiday,Yes
6/12/2018,0,-10.3,34,2.4,1988,-17.8,1.1,0,0.8,Winter,No Holiday,Yes
6/12/2018,1,-10.6,40,2.9,1987,-17.9,1.18,0,0.8,Winter,No Holiday,Yes
6/12/2018,2,-10.9,34,2.7,1900,-17.7,1.05,0,0.8,Winter,No Holiday,Yes
6/12/2018,3,-11.2,40,2.9,1872,-17.6,0.99,0,0.8,Winter,No Holiday,Yes
6/12/2018,4,-11.5,36,2.3,1899,-18.3,0.69,0,0.8,Winter,No Holiday,Yes
6/12/2018,5,-11.9,39,1.8,1759,-17.9,0.31,0,0.8,Winter,No Holiday,Yes
6/12/2018,6,-12,32,2.3,1709,-18,0.02,0,0.7,Winter,No Holiday,Yes
6/12/2018,7,-12.3,32,2.3,1738,-18.6,0,0,0.7,Winter,No Holiday,Yes
6/12/2018,8,-12.6,34,1.6,1610,-18.5,0,0,0.7,Winter,No Holiday,Yes
6/12/2018,9,-12,40,2.6,1781,-19.6,0,0,0.6,Winter,No Holiday,Yes
6/12/2018,10,-11.1,35,3.7,1638,-20.4,0,0,0.5,Winter,No Holiday,Yes
6/12/2018,11,-10.2,33,3.5,1629,-20.9,0,0,0.5,Winter,No Holiday,Yes
6/12/2018,12,-8.6,40,2.6,1700,-19.8,0,0,0.4,Winter,No Holiday,Yes
6/12/2018,13,-8.6,33,3.4,1593,-19.5,0,0,0.3,Winter,No Holiday,Yes
6/12/2018,14,-7.4,37,3.3,1718,-19.3,0,0,0.3,Winter,No Holiday,Yes
6/12/2018,15,-8.3,38,3.8,1745,-18.9,0,0,0.2,Winter,No Holiday,Yes
6/12/2018,16,-8.2,33,2.8,1807,-19.7,0,0,0,Winter,No Holiday,Yes
6/12/2018,17,-9.3,40,2.8,1900,-19.6,0,0,0,Winter,No Holiday,Yes
6/12/2018,18,-10.4,34,2.3,1985,-20.6,0,0,0,Winter,No Holiday,Yes
6/12/2018,19,-10.9,40,3,2000,-20.7,0,0,0,Winter,No Holiday,Yes
6/12/2018,20,-11.6,30,1.8,1953,-20.1,0,0,0,Winter,No Holiday,Yes
6/12/2018,21,-12.4,31,2.2,1992,-20.4,0,0,0,Winter,No Holiday,Yes
6/12/2018,22,-12.9,38,2.8,2000,-20.7,0,0.6,0,Winter,No Holiday,Yes
6/12/2018,23,-13.2,32,1.5,1972,-21.2,0,0,0,Winter,No Holiday,Yes
7/12/2018,0,-13.6,36,1.6,2000,-22,0,0,0,Winter,No Holiday,Yes
7/12/2018,1,-13.7,30,3,2000,-22.6,0.16,0,0,Winter,No Holiday,Yes
7/12/2018,2,-13.8,31,2.6,2000,-23.7,0.48,0,0,Winter,No Holiday,Yes
7/12/2018,3,-14.1,36,1.8,2000,-23.4,0.84,0,0,Winter,No Holiday,Yes
7/12/2018,4,-14.3,33,2,2000,-23.6,1.11,0,0,Winter,No Holiday,Yes
7/12/2018,5,-14.6,36,1.1,2000,-23.9,1.2,0,0,Winter,No Holiday,Yes
7/12/2018,6,-14.9,34,2.3,2000,-24.2,1.15,0.6,0,Winter,No Holiday,Yes
7/12/2018,7,-15.1,36,0.9,2000,-24.4,0.93,0.5,0,Winter,No Holiday,Yes
7/12/2018,8,-15.1,35,1.2,2000,-24.6,0.63,0.4,0,Winter,No Holiday,Yes
7/12/2018,9,-14.9,34,1.2,1999,-25.5,0.28,0.3,0,Winter,No Holiday,Yes
7/12/2018,10,-13,31,2.2,1960,-24.6,0.02,0,0,Winter,No Holiday,Yes
7/12/2018,11,-11.2,30,2.4,1944,-25,0,0,0,Winter,No Holiday,Yes
7/12/2018,12,-9.6,40,2,1945,-25.1,0,0,0,Winter,No Holiday,Yes
7/12/2018,13,-8.2,36,2,1920,-23.1,0,0,0,Winter,No Holiday,Yes
7/12/2018,14,-7.2,30,2.3,1990,-22.6,0,0.2,0,Winter,No Holiday,Yes
7/12/2018,15,-6.5,36,2.4,1987,-22.8,0,0.1,0,Winter,No Holiday,Yes
7/12/2018,16,-5.8,32,1.1,2000,-24.6,0.94,0,0,Winter,No Holiday,Yes
7/12/2018,17,-6.5,32,1.5,2000,-24.7,1.17,0,0,Winter,No Holiday,Yes
7/12/2018,18,-7.5,34,2,2000,-22.9,1.19,0,0,Winter,No Holiday,Yes
7/12/2018,19,-8.2,30,1.1,2000,-22,1.14,0,0,Winter,No Holiday,Yes
7/12/2018,20,-7.9,39,1.4,2000,-22.1,0.96,0,0,Winter,No Holiday,Yes
7/12/2018,21,-7.4,32,1.4,2000,-20.9,0.66,0,0,Winter,No Holiday,Yes
7/12/2018,22,-6.9,35,1.6,2000,-18.5,0.28,0,0,Winter,No Holiday,Yes
7/12/2018,23,-6.7,38,1.3,1821,-19.3,0.02,0,0,Winter,No Holiday,Yes
